iter	Passed	Remaining
0	49	49005
1	49	24927
2	50	16911
3	51	12919
4	52	10499
5	53	8872
6	54	7717
7	55	6844
8	56	6180
9	56	5642
10	57	5203
11	58	4826
12	59	4510
13	60	4243
14	61	4015
15	61	3807
16	62	3626
17	63	3461
18	64	3318
19	65	3193
20	66	3077
21	66	2976
22	67	2882
23	68	2790
24	69	2708
25	70	2632
26	71	2567
27	72	2505
28	72	2443
29	73	2386
30	74	2325
31	74	2259
32	75	2211
33	76	2168
34	77	2128
35	77	2087
36	78	2049
37	79	2010
38	80	1977
39	81	1944
40	81	1916
41	82	1887
42	83	1859
43	84	1829
44	84	1794
45	85	1769
46	86	1746
47	86	1721
48	87	1700
49	88	1679
50	89	1658
51	89	1636
52	90	1616
53	91	1597
54	92	1581
55	92	1564
56	93	1544
57	94	1527
58	94	1511
59	95	1494
60	95	1477
61	96	1460
62	97	1444
63	97	1428
64	98	1412
65	98	1397
66	99	1383
67	99	1365
68	100	1350
69	100	1336
70	101	1322
71	101	1308
72	101	1294
73	102	1281
74	102	1268
75	103	1254
76	103	1242
77	104	1229
78	104	1217
79	104	1205
80	105	1193
81	105	1181
82	105	1169
83	106	1158
84	106	1145
85	106	1134
86	106	1122
87	107	1112
88	107	1101
89	107	1091
90	108	1081
91	108	1071
92	108	1061
93	109	1051
94	109	1042
95	109	1032
96	109	1023
97	110	1014
98	110	1006
99	110	997
100	111	989
101	111	979
102	111	971
103	111	963
104	112	955
105	112	947
106	112	939
107	112	931
108	113	923
109	113	916
110	113	908
111	113	901
112	113	893
113	114	886
114	114	879
115	114	871
116	114	865
117	114	858
118	115	851
119	115	845
120	115	838
121	115	832
122	115	825
123	116	819
124	116	813
125	116	807
126	116	802
127	116	795
128	117	790
129	117	784
130	117	779
131	117	773
132	117	768
133	118	763
134	118	758
135	118	753
136	118	748
137	118	742
138	119	738
139	119	733
140	119	728
141	119	723
142	120	719
143	120	714
144	120	710
145	120	705
146	120	701
147	121	697
148	121	692
149	121	688
150	121	684
151	121	680
152	122	676
153	122	672
154	122	668
155	122	664
156	123	660
157	123	656
158	123	653
159	123	649
160	123	645
161	124	642
162	124	638
163	124	634
164	124	631
165	124	627
166	125	624
167	125	620
168	125	617
169	125	614
170	125	610
171	126	607
172	126	604
173	126	600
174	126	597
175	127	594
176	127	591
177	127	588
178	127	585
179	127	582
180	127	578
181	128	575
182	128	572
183	128	569
184	128	567
185	128	564
186	129	561
187	129	558
188	129	555
189	129	552
190	129	550
191	130	547
192	130	544
193	130	542
194	130	539
195	130	537
196	131	534
197	131	531
198	131	529
199	131	526
200	131	524
201	132	522
202	132	519
203	132	517
204	132	514
205	132	512
206	133	510
207	133	507
208	133	505
209	133	503
210	133	500
211	134	498
212	134	496
213	134	494
214	134	492
215	134	489
216	135	487
217	135	485
218	135	483
219	135	481
220	135	479
221	136	477
222	136	475
223	136	473
224	136	471
225	136	469
226	137	467
227	137	465
228	137	463
229	137	461
230	137	459
231	138	457
232	138	455
233	138	453
234	138	451
235	138	449
236	139	448
237	139	446
238	139	444
239	139	442
240	139	440
241	140	439
242	140	437
243	140	435
244	140	433
245	140	432
246	141	430
247	141	428
248	141	427
249	141	425
250	141	423
251	142	422
252	142	420
253	142	418
254	142	417
255	143	415
256	143	414
257	143	412
258	143	411
259	143	409
260	144	408
261	144	406
262	144	405
263	144	403
264	145	402
265	145	400
266	145	399
267	145	397
268	145	396
269	146	395
270	146	393
271	146	392
272	146	390
273	147	389
274	147	388
275	147	386
276	147	385
277	147	384
278	148	382
279	148	381
280	148	380
281	148	378
282	149	377
283	149	376
284	149	375
285	149	373
286	149	372
287	150	371
288	150	370
289	150	368
290	150	367
291	151	366
292	151	365
293	151	364
294	151	362
295	152	361
296	152	360
297	152	359
298	152	358
299	153	357
300	153	355
301	153	354
302	153	353
303	153	352
304	154	351
305	154	350
306	154	349
307	154	348
308	155	347
309	155	345
310	155	344
311	155	343
312	156	342
313	156	341
314	156	340
315	156	339
316	157	338
317	157	337
318	157	336
319	157	335
320	158	334
321	158	333
322	158	332
323	158	331
324	159	330
325	159	329
326	159	328
327	159	327
328	160	326
329	160	325
330	160	324
331	160	323
332	161	322
333	161	321
334	161	320
335	161	319
336	162	318
337	162	317
338	162	316
339	162	315
340	163	315
341	163	314
342	163	313
343	163	312
344	164	311
345	164	310
346	164	309
347	164	308
348	165	307
349	165	307
350	165	306
351	166	305
352	166	304
353	166	304
354	166	303
355	167	302
356	167	301
357	167	300
358	167	299
359	168	299
360	168	298
361	168	297
362	168	296
363	169	295
364	169	294
365	169	294
366	170	293
