iter	Passed	Remaining
0	47	47189
1	48	24208
2	50	16625
3	51	12713
4	52	10394
5	52	8773
6	53	7654
7	54	6807
8	55	6132
9	56	5602
10	57	5175
11	58	4829
12	59	4510
13	60	4240
14	60	3999
15	61	3792
16	62	3627
17	63	3473
18	64	3328
19	65	3201
20	66	3087
21	66	2975
22	67	2872
23	68	2778
24	69	2691
25	69	2609
26	70	2532
27	70	2460
28	71	2394
29	72	2332
30	72	2271
31	73	2215
32	73	2161
33	74	2108
34	74	2059
35	75	2011
36	75	1968
37	76	1925
38	76	1883
39	76	1844
40	77	1809
41	78	1781
42	78	1752
43	79	1720
44	79	1691
45	80	1663
46	80	1635
47	81	1608
48	81	1581
49	81	1555
50	82	1530
51	82	1504
52	82	1480
53	83	1457
54	83	1439
55	84	1416
56	84	1395
57	84	1375
58	85	1356
59	85	1338
60	85	1320
61	86	1301
62	86	1283
63	86	1265
64	86	1248
65	87	1232
66	87	1215
67	87	1199
68	87	1184
69	88	1169
70	88	1155
71	88	1140
72	88	1126
73	88	1113
74	89	1100
75	89	1087
76	89	1074
77	90	1064
78	90	1053
79	90	1041
80	90	1030
81	91	1019
82	91	1007
83	91	997
84	91	987
85	91	977
86	92	967
87	92	957
88	92	948
89	92	939
90	93	931
91	93	922
92	93	914
93	94	906
94	94	897
95	94	889
96	94	881
97	94	874
98	95	866
99	95	859
100	95	851
101	95	844
102	96	837
103	96	830
104	96	823
105	96	816
106	96	809
107	97	802
108	97	796
109	97	789
110	97	783
111	98	777
112	98	771
113	98	765
114	98	759
115	98	753
116	99	747
117	99	741
118	99	736
119	99	730
120	99	725
121	100	719
122	100	714
123	100	709
124	100	704
125	100	699
126	101	694
127	101	689
128	101	685
129	101	680
130	101	675
131	102	671
132	102	666
133	102	662
134	102	658
135	102	653
136	103	649
137	103	645
138	103	641
139	103	637
140	103	633
141	104	628
142	104	625
143	104	621
144	104	617
145	104	613
146	105	610
147	105	606
148	105	603
149	105	599
150	106	596
151	106	592
152	106	589
153	106	586
154	106	582
155	107	579
156	107	576
157	107	573
158	107	570
159	108	567
160	108	563
161	108	560
162	108	557
163	108	554
164	109	551
165	109	548
166	109	545
167	109	542
168	109	540
169	110	537
170	110	534
171	110	531
172	110	529
173	110	526
174	111	524
175	111	521
176	111	518
177	111	516
178	111	513
179	112	510
180	112	508
181	112	505
182	112	503
183	112	501
184	113	498
185	113	496
186	113	493
187	113	491
188	113	489
189	114	486
190	114	484
191	114	482
192	114	480
193	114	477
194	115	475
195	115	473
196	115	471
197	115	469
198	116	467
199	116	464
200	116	462
201	116	460
202	116	458
203	117	456
204	117	454
205	117	452
206	117	450
207	117	448
208	118	446
209	118	445
210	118	443
211	118	441
212	118	439
213	119	437
214	119	435
215	119	434
216	119	432
217	119	430
218	120	428
219	120	426
220	120	425
221	120	423
222	121	421
223	121	419
224	121	418
225	121	416
226	121	414
227	122	413
228	122	411
229	122	410
230	122	409
231	123	407
232	123	406
233	123	404
234	123	403
235	124	401
236	124	400
237	124	398
238	124	397
239	124	395
240	125	394
241	125	392
242	125	391
243	125	390
244	126	388
245	126	387
246	126	385
247	126	384
248	126	383
249	127	381
250	127	380
251	127	378
252	127	377
253	128	376
254	128	374
255	128	373
256	128	372
257	129	371
258	129	369
259	129	368
260	129	367
261	129	366
262	130	364
263	130	363
264	130	362
265	130	361
266	131	359
267	131	358
268	131	357
269	131	356
270	131	355
271	132	353
272	132	352
273	132	351
274	132	350
275	133	348
276	133	347
277	133	346
278	133	345
279	133	344
280	134	342
281	134	341
282	134	340
283	134	339
284	134	338
285	135	337
286	135	336
287	135	334
288	135	333
289	135	332
290	136	331
291	136	330
292	136	329
293	136	328
294	136	327
295	137	326
296	137	325
297	137	324
298	137	323
299	138	322
300	138	321
301	138	319
302	138	318
303	138	317
304	139	316
305	139	315
306	139	314
307	139	313
308	139	312
309	140	311
310	140	310
311	140	309
312	140	308
313	140	307
314	141	306
315	141	306
316	141	305
317	141	304
318	142	303
319	142	302
320	142	301
321	142	300
322	143	299
323	143	298
324	143	298
325	143	297
326	143	296
327	144	295
328	144	294
329	144	293
330	144	292
331	145	291
332	145	290
333	145	290
334	145	289
335	145	288
336	146	287
337	146	286
338	146	285
339	146	285
340	147	284
341	147	283
342	147	282
343	147	281
344	147	280
345	148	280
346	148	279
347	148	278
348	148	277
349	148	276
350	149	275
351	149	275
352	149	274
353	149	273
354	150	272
355	150	271
356	150	270
357	150	270
358	151	269
359	151	268
360	151	268
361	151	267
362	152	267
363	152	266
364	152	265
365	152	264
366	153	263
367	153	263
368	153	262
369	153	261
370	153	260
371	154	260
372	154	259
373	154	258
374	154	258
375	155	257
376	155	256
377	155	255
378	155	255
379	156	254
380	156	253
381	156	253
382	156	252
383	156	251
384	157	251
385	157	250
386	157	249
387	157	248
388	157	248
389	158	247
390	158	246
391	158	246
392	158	245
393	159	244
394	159	244
395	159	243
396	159	242
397	160	242
398	160	241
399	160	240
400	160	240
401	160	239
402	161	238
403	161	238
404	161	237
405	161	236
406	161	235
407	162	235
408	162	234
409	162	233
410	162	233
411	163	232
412	163	232
413	163	231
414	163	230
415	163	230
416	164	229
417	164	229
418	164	228
419	164	227
420	165	227
421	165	226
422	165	225
423	165	225
424	166	224
425	166	224
426	166	223
427	166	222
428	166	222
429	167	221
430	167	221
431	167	220
432	167	219
433	168	219
434	168	218
435	168	218
436	168	217
437	169	216
438	169	216
439	169	215
440	169	215
441	170	214
442	170	214
443	170	213
444	170	212
445	170	212
446	171	211
447	171	211
448	171	210
449	171	210
450	172	209
451	172	208
452	172	208
453	172	207
454	173	207
455	173	206
456	173	206
457	173	205
458	173	204
459	174	204
460	174	203
461	174	203
462	174	202
463	175	202
464	175	201
465	175	201
466	175	200
467	175	199
468	176	199
469	176	198
470	176	198
471	176	197
472	177	197
473	177	196
474	177	196
475	177	195
476	177	195
477	178	194
478	178	194
479	178	193
480	178	192
481	179	192
482	179	191
483	179	191
484	179	190
485	180	190
486	180	189
487	180	189
488	180	188
489	180	188
490	181	187
491	181	187
492	181	186
493	181	186
494	182	185
495	182	185
496	182	185
497	183	184
498	183	184
499	183	183
500	183	183
501	184	182
502	184	182
503	184	181
504	184	181
505	184	180
506	185	180
507	185	179
508	185	178
509	185	178
510	186	178
511	186	177
512	186	177
513	186	176
514	187	176
515	187	175
516	187	175
517	187	174
518	187	174
519	188	173
520	188	173
521	188	172
522	188	172
523	189	171
524	189	171
525	189	170
526	189	170
527	189	169
528	190	169
529	190	168
530	190	168
531	190	167
532	190	167
533	191	166
534	191	166
535	191	165
536	191	165
537	191	164
538	192	164
539	192	163
540	192	163
541	192	162
542	193	162
543	193	161
544	193	161
545	193	161
546	193	160
547	194	160
548	194	159
549	194	159
550	194	158
551	195	158
552	195	157
553	195	157
554	195	156
555	195	156
556	196	155
557	196	155
558	196	154
559	196	154
560	196	154
561	197	153
562	197	153
563	197	152
564	197	152
565	198	151
566	198	151
567	198	151
568	198	150
569	199	150
570	199	149
571	199	149
572	200	149
573	200	148
574	200	148
575	200	147
576	200	147
577	201	146
578	201	146
579	201	145
580	201	145
581	202	145
582	202	144
583	202	144
584	202	143
585	202	143
586	203	142
587	203	142
588	203	142
589	203	141
590	204	141
591	204	140
592	204	140
593	204	139
594	205	139
595	205	139
596	205	138
597	205	138
598	205	137
599	206	137
600	206	136
601	206	136
602	206	136
603	206	135
604	207	135
605	207	134
606	207	134
607	207	133
608	207	133
609	208	133
610	208	132
611	208	132
612	208	131
613	208	131
614	209	130
615	209	130
616	209	130
617	209	129
618	209	129
619	210	128
620	210	128
621	210	127
622	210	127
623	210	127
624	211	126
625	211	126
626	211	125
627	211	125
628	211	125
629	212	124
630	212	124
631	212	123
632	212	123
633	213	122
634	213	122
635	213	122
636	213	121
637	214	121
638	214	121
639	214	120
640	214	120
641	214	119
642	215	119
643	215	118
644	215	118
645	215	118
646	215	117
647	216	117
648	216	116
649	216	116
650	216	116
651	216	115
652	217	115
653	217	114
654	217	114
655	217	114
656	217	113
657	218	113
658	218	112
659	218	112
660	218	112
661	218	111
662	219	111
663	219	110
664	219	110
665	219	110
666	219	109
667	220	109
668	220	108
669	220	108
670	220	108
671	220	107
672	221	107
673	221	107
674	221	106
675	221	106
676	221	105
677	222	105
678	222	105
679	222	104
680	222	104
681	222	103
682	223	103
683	223	103
684	223	102
685	223	102
686	223	102
687	224	101
688	224	101
689	224	100
690	224	100
691	224	100
692	225	99
693	225	99
694	225	98
695	225	98
696	225	98
697	226	97
698	226	97
699	226	97
700	226	96
701	226	96
702	227	95
703	227	95
704	227	95
705	227	94
706	228	94
707	228	94
708	228	93
709	228	93
710	228	93
711	229	92
712	229	92
713	229	91
714	229	91
715	229	91
716	230	90
717	230	90
718	230	90
719	230	89
720	230	89
721	231	88
722	231	88
723	231	88
724	231	87
725	231	87
726	232	87
727	232	86
728	232	86
729	232	86
730	232	85
731	233	85
732	233	84
733	233	84
734	233	84
735	233	83
736	234	83
737	234	83
738	234	82
739	234	82
740	234	82
741	235	81
742	235	81
743	235	81
744	235	80
745	235	80
746	236	79
747	236	79
748	236	79
749	236	78
750	236	78
751	237	78
752	237	77
753	237	77
754	237	77
755	237	76
756	238	76
757	238	76
758	238	75
759	238	75
760	239	75
761	239	74
762	239	74
763	239	74
764	240	73
765	240	73
766	240	73
767	240	72
768	240	72
769	241	72
770	241	71
771	241	71
772	241	71
773	242	70
774	242	70
775	242	70
776	242	69
777	243	69
778	243	68
779	243	68
780	243	68
781	243	67
782	244	67
783	244	67
784	244	66
785	244	66
786	245	66
787	245	65
788	245	65
789	245	65
790	245	64
791	246	64
792	246	64
793	246	63
794	246	63
795	247	63
796	247	62
797	247	62
798	247	62
799	247	61
800	248	61
801	248	61
802	248	60
803	248	60
804	249	60
805	249	59
806	249	59
807	249	59
808	249	59
809	250	58
810	250	58
811	250	58
812	250	57
813	250	57
814	251	57
815	251	56
816	251	56
817	251	56
818	252	55
819	252	55
820	252	55
821	252	54
822	252	54
823	253	54
824	253	53
825	253	53
826	253	53
827	253	52
828	253	52
829	254	52
830	254	51
831	254	51
832	254	51
833	254	50
834	255	50
835	255	50
836	255	49
837	255	49
838	255	49
839	256	48
840	256	48
841	256	48
842	256	47
843	257	47
844	257	47
845	257	46
846	257	46
847	257	46
848	258	45
849	258	45
850	258	45
851	258	44
852	258	44
853	259	44
854	259	43
855	259	43
856	259	43
857	259	43
858	260	42
859	260	42
860	260	42
861	260	41
862	260	41
863	261	41
864	261	40
865	261	40
866	261	40
867	261	39
868	262	39
869	262	39
870	262	38
871	262	38
872	262	38
873	263	37
874	263	37
875	263	37
876	263	36
877	263	36
878	264	36
879	264	36
880	264	35
881	264	35
882	264	35
883	265	34
884	265	34
885	265	34
886	265	33
887	265	33
888	266	33
889	266	32
890	266	32
891	266	32
892	266	31
893	267	31
894	267	31
895	267	31
896	267	30
897	267	30
898	268	30
899	268	29
900	268	29
901	268	29
902	269	28
903	269	28
904	269	28
905	269	27
906	269	27
907	270	27
908	270	27
909	270	26
910	270	26
911	270	26
912	271	25
913	271	25
914	271	25
915	271	24
916	271	24
917	272	24
918	272	24
919	272	23
920	272	23
921	273	23
922	273	22
923	273	22
924	273	22
925	273	21
926	274	21
927	274	21
928	274	20
929	274	20
930	274	20
931	275	20
932	275	19
933	275	19
934	275	19
935	275	18
936	276	18
937	276	18
938	276	17
939	276	17
940	276	17
941	277	17
942	277	16
943	277	16
944	277	16
945	277	15
946	278	15
947	278	15
948	278	14
949	278	14
950	278	14
951	279	14
952	279	13
953	279	13
954	279	13
955	279	12
956	280	12
957	280	12
958	280	11
959	280	11
960	280	11
961	281	11
962	281	10
963	281	10
964	281	10
965	282	9
966	282	9
967	282	9
968	282	9
969	282	8
970	283	8
971	283	8
972	283	7
973	283	7
974	283	7
975	284	6
976	284	6
977	284	6
978	284	6
979	284	5
980	285	5
981	285	5
982	285	4
983	285	4
984	285	4
985	286	4
986	286	3
987	286	3
988	286	3
989	286	2
990	287	2
991	287	2
